bridge_id,sb_match_id,competition_label,kickoff_date,norm_home,norm_away,regulation_result,old_cache_root,local_file_status,local_sha256,lake_status,lake_sha256,retrieval_decision,reason
3dd4268c82d98634,7562,FIFA World Cup 2018,2018-06-26,australia,peru,away,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
cbad7b2d42a4efad,7563,FIFA World Cup 2018,2018-06-26,denmark,france,draw,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
2f0d7b27f11d7b31,7564,FIFA World Cup 2018,2018-06-26,nigeria,argentina,away,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
2280285b491f0550,7565,FIFA World Cup 2018,2018-06-27,serbia,brazil,away,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
cd1d40a7249a6be6,7566,FIFA World Cup 2018,2018-06-27,mexico,sweden,away,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
5b60388ec70078a5,7567,FIFA World Cup 2018,2018-06-27,south korea,germany,home,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
8e5fc30ead1a08c7,7568,FIFA World Cup 2018,2018-06-27,switzerland,costa rica,draw,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
532976e6868bd263,7569,FIFA World Cup 2018,2018-06-28,panama,tunisia,away,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
fddf2d295da8c1f0,7570,FIFA World Cup 2018,2018-06-28,england,belgium,away,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
1bb2b14f977be084,7571,FIFA World Cup 2018,2018-06-28,senegal,colombia,away,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
ec646708dacef441,7572,FIFA World Cup 2018,2018-06-28,japan,poland,away,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
a17a50b50f5f2954,7576,FIFA World Cup 2018,2018-06-15,portugal,spain,draw,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
e4ef7f1c119c402f,7577,FIFA World Cup 2018,2018-06-15,morocco,iran,away,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
a429a0ba326ef338,7578,FIFA World Cup 2018,2018-06-15,egypt,uruguay,away,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
f4230aa4f9bad997,7579,FIFA World Cup 2018,2018-06-30,uruguay,portugal,home,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
9d7460a786442b70,7580,FIFA World Cup 2018,2018-06-30,france,argentina,home,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
23ce415808d5a705,7581,FIFA World Cup 2018,2018-07-01,croatia,denmark,draw,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
f4df68973baf40c1,7582,FIFA World Cup 2018,2018-07-01,spain,russia,draw,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
8a49ccc81c7e5fa6,7583,FIFA World Cup 2018,2018-07-02,brazil,mexico,home,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
24250ad701243c6d,7584,FIFA World Cup 2018,2018-07-02,belgium,japan,home,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
9ef3cd75f9404fc9,7585,FIFA World Cup 2018,2018-07-03,colombia,england,draw,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
0a6b85c9e1a47b97,7586,FIFA World Cup 2018,2018-07-03,sweden,switzerland,home,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
97ff7c9cf169612a,8649,FIFA World Cup 2018,2018-07-06,uruguay,france,away,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
51ad491d67cab6c6,8650,FIFA World Cup 2018,2018-07-06,brazil,belgium,away,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
a9a64a22b2ffc08f,8651,FIFA World Cup 2018,2018-07-07,sweden,england,away,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
f20ad45ae3ae286c,8652,FIFA World Cup 2018,2018-07-07,russia,croatia,draw,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
215789860f293ec9,8655,FIFA World Cup 2018,2018-07-10,france,belgium,home,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
03ed1fb199f84efc,8656,FIFA World Cup 2018,2018-07-11,croatia,england,draw,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
17857e5a29cd6c34,8657,FIFA World Cup 2018,2018-07-14,belgium,england,home,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
3f31d38173e6bc43,8658,FIFA World Cup 2018,2018-07-15,france,croatia,home,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
713283908dc54cb9,3788741,UEFA Euro 2020,2021-06-11,turkey,italy,away,C:\Users\Mahyar\worldcup-player-impact-xg\data\raw\statsbomb_open\events,valid,b9ddce6bee771bdb1f3564c9ac0552619257e412d0767939f1e7f1500ace3062,present,b9ddce6bee771bdb1f3564c9ac0552619257e412d0767939f1e7f1500ace3062,copy_verified_local,already in lake (hash-verified)
a020f406bb398cd2,3788742,UEFA Euro 2020,2021-06-12,denmark,finland,away,C:\Users\Mahyar\worldcup-player-impact-xg\data\raw\statsbomb_open\events,valid,1408d239936cecb7235754f17d73717292eff58e8e09ad8d0552707925fdda08,present,1408d239936cecb7235754f17d73717292eff58e8e09ad8d0552707925fdda08,copy_verified_local,already in lake (hash-verified)
f0aad4d64180fc25,3788743,UEFA Euro 2020,2021-06-12,belgium,russia,home,C:\Users\Mahyar\worldcup-player-impact-xg\data\raw\statsbomb_open\events,valid,38cf62081036062f3ad640a5ba6a0d99148e8fb078de9eedd37ede323e4f4e8d,present,38cf62081036062f3ad640a5ba6a0d99148e8fb078de9eedd37ede323e4f4e8d,copy_verified_local,already in lake (hash-verified)
505eb3b4c74cea39,3788744,UEFA Euro 2020,2021-06-12,wales,switzerland,draw,C:\Users\Mahyar\worldcup-player-impact-xg\data\raw\statsbomb_open\events,valid,43b362fc808ac3217cb6f53f73774e3f9e3f793da8cde5b48a0816c3ebd50edf,present,43b362fc808ac3217cb6f53f73774e3f9e3f793da8cde5b48a0816c3ebd50edf,copy_verified_local,already in lake (hash-verified)
78fc76f069cfc8fc,3788745,UEFA Euro 2020,2021-06-13,england,croatia,home,C:\Users\Mahyar\worldcup-player-impact-xg\data\raw\statsbomb_open\events,valid,79201b48256e507f904d405b7f75b3586d4fe3b864ec39a038f46cbad92de66c,present,79201b48256e507f904d405b7f75b3586d4fe3b864ec39a038f46cbad92de66c,copy_verified_local,already in lake (hash-verified)
b427b77b3bfacca5,3788746,UEFA Euro 2020,2021-06-13,netherlands,ukraine,home,C:\Users\Mahyar\worldcup-player-impact-xg\data\raw\statsbomb_open\events,valid,15c2f6ef998f71c0e4ff602ed7551b1877f9f8c6e50e806841fcedb7e5e1d0c5,present,15c2f6ef998f71c0e4ff602ed7551b1877f9f8c6e50e806841fcedb7e5e1d0c5,copy_verified_local,already in lake (hash-verified)
19c3d7f47f2e0a6c,3788747,UEFA Euro 2020,2021-06-13,austria,macedonia,home,C:\Users\Mahyar\worldcup-player-impact-xg\data\raw\statsbomb_open\events,valid,8712c3dd14a1b8dfa5994b95624e6948c781a3858762195d939cb70852970317,present,8712c3dd14a1b8dfa5994b95624e6948c781a3858762195d939cb70852970317,copy_verified_local,already in lake (hash-verified)
32c37d211f9054b9,3788748,UEFA Euro 2020,2021-06-14,scotland,czech republic,away,C:\Users\Mahyar\worldcup-player-impact-xg\data\raw\statsbomb_open\events,valid,a4a20bc3796e7a5e3fbe4fcf3e91a676d7b740e42a07715bcea59345c1b944eb,present,a4a20bc3796e7a5e3fbe4fcf3e91a676d7b740e42a07715bcea59345c1b944eb,copy_verified_local,already in lake (hash-verified)
d666c699578bb19e,3788749,UEFA Euro 2020,2021-06-14,poland,slovakia,away,C:\Users\Mahyar\worldcup-player-impact-xg\data\raw\statsbomb_open\events,valid,0a54ec9254bfa3cb869df320d74627c1d931dfe73ad1bf6113d26dc6f93d7f6f,present,0a54ec9254bfa3cb869df320d74627c1d931dfe73ad1bf6113d26dc6f93d7f6f,copy_verified_local,already in lake (hash-verified)
a8c0589ec43e31a0,3788750,UEFA Euro 2020,2021-06-14,spain,sweden,draw,C:\Users\Mahyar\worldcup-player-impact-xg\data\raw\statsbomb_open\events,valid,d580719d87a47a84f49be09af6e13f4ae592201fe51626bef9d479d76f2ab14f,present,d580719d87a47a84f49be09af6e13f4ae592201fe51626bef9d479d76f2ab14f,copy_verified_local,already in lake (hash-verified)
61f7bbdfba875d80,3788751,UEFA Euro 2020,2021-06-15,france,germany,home,C:\Users\Mahyar\worldcup-player-impact-xg\data\raw\statsbomb_open\events,valid,b8538cde72d2596c3eade9546a36edd2dfdc462cdfe836863dd2ad161ced2748,present,b8538cde72d2596c3eade9546a36edd2dfdc462cdfe836863dd2ad161ced2748,copy_verified_local,already in lake (hash-verified)
29a98ad7047635aa,3788752,UEFA Euro 2020,2021-06-15,hungary,portugal,away,C:\Users\Mahyar\worldcup-player-impact-xg\data\raw\statsbomb_open\events,valid,1fe3809da92ce4330e12e3b729f48d77174e481875d12737c90f04144cabf7cd,present,1fe3809da92ce4330e12e3b729f48d77174e481875d12737c90f04144cabf7cd,copy_verified_local,already in lake (hash-verified)
675e684e7109a08b,3788753,UEFA Euro 2020,2021-06-16,finland,russia,away,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
8b9ab1401c13abe7,3788754,UEFA Euro 2020,2021-06-16,italy,switzerland,home,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
9a487d384135721f,3788755,UEFA Euro 2020,2021-06-16,turkey,wales,away,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
a8e8ca9fde822f09,3788756,UEFA Euro 2020,2021-06-17,netherlands,austria,home,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
1ab6a85d8bd3d52f,3788757,UEFA Euro 2020,2021-06-17,denmark,belgium,away,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
2dd372e227590dc3,3788758,UEFA Euro 2020,2021-06-17,ukraine,macedonia,home,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
7ad788d39ca3e3d6,3788759,UEFA Euro 2020,2021-06-18,england,scotland,draw,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
5d9fca44e1587076,3788760,UEFA Euro 2020,2021-06-18,croatia,czech republic,draw,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
bcd9d53c8a9f9c2e,3788761,UEFA Euro 2020,2021-06-18,sweden,slovakia,home,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
4068135b80819aa9,3788762,UEFA Euro 2020,2021-06-19,spain,poland,draw,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
aae058f058d78442,3788763,UEFA Euro 2020,2021-06-19,hungary,france,draw,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
32c22a692882cd2e,3788764,UEFA Euro 2020,2021-06-19,portugal,germany,away,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
a8edbb863e184027,3788765,UEFA Euro 2020,2021-06-20,switzerland,turkey,home,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
76cc4b21c1b746c1,3788766,UEFA Euro 2020,2021-06-20,italy,wales,home,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
70f985c4d53263ea,3788767,UEFA Euro 2020,2021-06-21,ukraine,austria,away,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
95f4f003e9ce66e1,3788768,UEFA Euro 2020,2021-06-21,finland,belgium,away,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
aab7e4b216c336e8,3788769,UEFA Euro 2020,2021-06-21,russia,denmark,away,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
5d0ad83093084df7,3788770,UEFA Euro 2020,2021-06-21,macedonia,netherlands,away,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
0f19f991bfa7bc27,3788771,UEFA Euro 2020,2021-06-22,croatia,scotland,home,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
e876b316dd9ca391,3788772,UEFA Euro 2020,2021-06-22,czech republic,england,away,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
a6c0c14b2875d2dc,3788773,UEFA Euro 2020,2021-06-23,portugal,france,draw,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
8c37b1c8b24bff7f,3788774,UEFA Euro 2020,2021-06-23,germany,hungary,draw,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
33a9ce74d34679b1,3788775,UEFA Euro 2020,2021-06-23,slovakia,spain,away,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
f519dcec2e6ee177,3788776,UEFA Euro 2020,2021-06-23,sweden,poland,home,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
60817d316338ff11,3794685,UEFA Euro 2020,2021-06-26,italy,austria,draw,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
39ab5b3554e9c0f1,3794686,UEFA Euro 2020,2021-06-28,croatia,spain,draw,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
d7b6580a5161794e,3794687,UEFA Euro 2020,2021-06-27,belgium,portugal,home,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
c6532bde2243b959,3794688,UEFA Euro 2020,2021-06-29,england,germany,home,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
52bde64edd0c751f,3794689,UEFA Euro 2020,2021-06-26,wales,denmark,away,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
fa98961ca33587bd,3794690,UEFA Euro 2020,2021-06-27,netherlands,czech republic,away,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
f452030be32bff06,3794691,UEFA Euro 2020,2021-06-28,france,switzerland,draw,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
091cae13554ef48f,3794692,UEFA Euro 2020,2021-06-29,sweden,ukraine,draw,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
507f2c9ce4289c7a,3795107,UEFA Euro 2020,2021-07-02,belgium,italy,away,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
a3127ec3e05a570c,3795108,UEFA Euro 2020,2021-07-02,switzerland,spain,draw,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
7959adcbfba13231,3795109,UEFA Euro 2020,2021-07-03,czech republic,denmark,away,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
e1f7315628101d97,3795187,UEFA Euro 2020,2021-07-03,ukraine,england,away,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
3085eceb88cfe8f6,3795220,UEFA Euro 2020,2021-07-06,italy,spain,draw,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
4414abe13948a00f,3795221,UEFA Euro 2020,2021-07-07,england,denmark,draw,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
444446337442b94d,3795506,UEFA Euro 2020,2021-07-11,italy,england,draw,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
1ff62c6fe0126418,3857254,FIFA World Cup 2022,2022-11-22,denmark,tunisia,draw,C:\Users\Mahyar\worldcup-player-impact-xg\data\raw\statsbomb_open\events,valid,05b8584eea49fb178102bc067ccb5dad82c1c1988ec971a875a9229e27badb5a,present,05b8584eea49fb178102bc067ccb5dad82c1c1988ec971a875a9229e27badb5a,copy_verified_local,already in lake (hash-verified)
76205345820ac452,3857255,FIFA World Cup 2022,2022-12-01,japan,spain,home,C:\Users\Mahyar\worldcup-player-impact-xg\data\raw\statsbomb_open\events,valid,dec08979312350b0c3910b5ed15c7e4f7c10f438b733be0231d47a487b74e7a0,present,dec08979312350b0c3910b5ed15c7e4f7c10f438b733be0231d47a487b74e7a0,copy_verified_local,already in lake (hash-verified)
