rank,match_id,competition_id,season_id,competition,season,match_date,home,away
254,70296,11,24,La Liga,2012/2013,2012-12-16,Barcelona,Atlético Madrid
255,267520,11,25,La Liga,2013/2014,2013-09-24,Barcelona,Real Sociedad
256,267301,11,26,La Liga,2014/2015,2014-11-01,Barcelona,Celta Vigo
257,3825769,11,27,La Liga,2015/2016,2016-02-13,Villarreal,Málaga
258,266477,11,2,La Liga,2016/2017,2017-01-08,Villarreal,Barcelona
259,9742,11,1,La Liga,2017/2018,2018-01-07,Barcelona,Levante UD
260,16073,11,4,La Liga,2018/2019,2018-11-24,Atlético Madrid,Barcelona
261,3901167,7,27,Ligue 1,2015/2016,2016-03-05,Bastia,Lorient
262,3802795,7,108,Ligue 1,2021/2022,2022-02-11,Paris Saint-Germain,Rennes
263,3837771,7,235,Ligue 1,2022/2023,2022-10-29,Paris Saint-Germain,Troyes
264,3749117,2,44,Premier League,2003/2004,2004-01-07,Everton,Arsenal
265,3754251,2,27,Premier League,2015/2016,2016-01-02,West Ham United,Liverpool
266,3878544,12,27,Serie A,2015/2016,2015-08-23,Palermo,Genoa
267,3890337,9,27,1. Bundesliga,2015/2016,2015-10-17,Hamburger SV,Bayer Leverkusen
268,3895107,9,281,1. Bundesliga,2023/2024,2023-10-08,Bayer Leverkusen,FC Köln
269,3817866,1238,108,Indian Super league,2021/2022,2022-03-02,Kerala Blasters,Mumbai City
270,3901146,7,27,Ligue 1,2015/2016,2016-02-20,Paris Saint-Germain,Stade de Reims
271,3802930,7,108,Ligue 1,2021/2022,2022-05-08,Paris Saint-Germain,Troyes
272,3838004,7,235,Ligue 1,2022/2023,2023-05-27,Strasbourg,Paris Saint-Germain
273,3749358,2,44,Premier League,2003/2004,2003-08-24,Middlesbrough,Arsenal
274,3754264,2,27,Premier League,2015/2016,2016-02-13,Chelsea,Newcastle United
275,3879720,12,27,Serie A,2015/2016,2016-02-03,Lazio,Napoli
276,3890315,9,27,1. Bundesliga,2015/2016,2015-09-26,Werder Bremen,Bayer Leverkusen
277,3895134,9,281,1. Bundesliga,2023/2024,2023-11-04,Hoffenheim,Bayer Leverkusen
278,3813288,1238,108,Indian Super league,2021/2022,2021-12-02,Jamshedpur,SC Delhi
279,3829430,7,27,Ligue 1,2015/2016,2015-08-16,Stade de Reims,Olympique de Marseille
280,3802683,7,108,Ligue 1,2021/2022,2021-12-12,Paris Saint-Germain,AS Monaco
281,3837659,7,235,Ligue 1,2022/2023,2022-08-13,Paris Saint-Germain,Montpellier
282,3749590,2,44,Premier League,2003/2004,2003-12-06,Leicester City,Arsenal
283,3754220,2,27,Premier League,2015/2016,2016-03-06,Crystal Palace,Liverpool
284,3879854,12,27,Serie A,2015/2016,2016-05-01,Sassuolo,Hellas Verona
285,3890519,9,27,1. Bundesliga,2015/2016,2016-04-10,FC Köln,Bayer Leverkusen
286,3895348,9,281,1. Bundesliga,2023/2024,2024-05-18,Bayer Leverkusen,Augsburg
287,3817860,1238,108,Indian Super league,2021/2022,2022-01-27,Odisha,SC Delhi
288,3900548,7,27,Ligue 1,2015/2016,2015-12-06,Bordeaux,Guingamp
289,3802837,7,108,Ligue 1,2021/2022,2021-11-28,Saint-Étienne,Paris Saint-Germain
290,3837662,7,235,Ligue 1,2022/2023,2022-08-21,Lille,Paris Saint-Germain
291,3749528,2,44,Premier League,2003/2004,2003-09-26,Arsenal,Newcastle United
292,3754170,2,27,Premier League,2015/2016,2016-04-30,Newcastle United,Crystal Palace
293,3879688,12,27,Serie A,2015/2016,2016-01-16,Atalanta,Inter Milan
294,3890390,9,27,1. Bundesliga,2015/2016,2015-12-05,Hertha Berlin,Bayer Leverkusen
295,3895095,9,281,1. Bundesliga,2023/2024,2023-09-30,FSV Mainz 05,Bayer Leverkusen
296,3817851,1238,108,Indian Super league,2021/2022,2022-01-12,Odisha,Kerala Blasters
297,3829431,7,27,Ligue 1,2015/2016,2015-08-16,Lorient,Bastia
298,3802818,7,108,Ligue 1,2021/2022,2022-04-03,Paris Saint-Germain,Lorient
299,3837727,7,235,Ligue 1,2022/2023,2022-10-01,Paris Saint-Germain,OGC Nice
300,3749403,2,44,Premier League,2003/2004,2004-03-20,Arsenal,Bolton Wanderers
301,3754139,2,27,Premier League,2015/2016,2016-02-13,Swansea City,Southampton
302,3879641,12,27,Serie A,2015/2016,2015-12-06,Hellas Verona,Empoli
303,3890534,9,27,1. Bundesliga,2015/2016,2016-04-23,Schalke 04,Bayer Leverkusen
304,3895113,9,281,1. Bundesliga,2023/2024,2023-10-21,Wolfsburg,Bayer Leverkusen
305,3813276,1238,108,Indian Super league,2021/2022,2021-12-17,NorthEast United,East Bengal
306,3900560,7,27,Ligue 1,2015/2016,2015-12-18,OGC Nice,Montpellier
307,3802643,7,108,Ligue 1,2021/2022,2022-04-29,Strasbourg,Paris Saint-Germain
308,3837752,7,235,Ligue 1,2022/2023,2022-10-21,AC Ajaccio,Paris Saint-Germain
309,3749603,2,44,Premier League,2003/2004,2004-05-09,Fulham,Arsenal
310,3754213,2,27,Premier League,2015/2016,2015-09-12,Watford,Swansea City
311,3879745,12,27,Serie A,2015/2016,2016-02-14,Palermo,Torino
312,3890415,9,27,1. Bundesliga,2015/2016,2016-01-23,Hoffenheim,Bayer Leverkusen
313,3895309,9,281,1. Bundesliga,2023/2024,2024-04-21,Borussia Dortmund,Bayer Leverkusen
314,3817897,1238,108,Indian Super league,2021/2022,2022-02-23,SC Delhi,Kerala Blasters
315,3829454,7,27,Ligue 1,2015/2016,2015-09-12,Lyon,Lille
316,3802809,7,108,Ligue 1,2021/2022,2021-10-03,Rennes,Paris Saint-Germain
317,3837844,7,235,Ligue 1,2022/2023,2023-02-01,Montpellier,Paris Saint-Germain
318,3749153,2,44,Premier League,2003/2004,2004-01-10,Arsenal,Middlesbrough
319,3754077,2,27,Premier League,2015/2016,2015-09-19,Manchester City,West Ham United
320,3879545,12,27,Serie A,2015/2016,2015-09-23,Sampdoria,AS Roma
321,3890477,9,27,1. Bundesliga,2015/2016,2016-03-05,Augsburg,Bayer Leverkusen
322,3895194,9,281,1. Bundesliga,2023/2024,2024-01-13,Augsburg,Bayer Leverkusen
323,3817864,1238,108,Indian Super league,2021/2022,2022-02-03,Mumbai City,Mohun Bagan Super Giant
324,3829479,7,27,Ligue 1,2015/2016,2015-09-23,Lorient,Stade Malherbe Caen
325,3802902,7,108,Ligue 1,2021/2022,2021-10-24,Olympique de Marseille,Paris Saint-Germain
326,3837876,7,235,Ligue 1,2022/2023,2023-02-19,Paris Saint-Germain,Lille
327,3749434,2,44,Premier League,2003/2004,2003-11-22,Birmingham City,Arsenal
328,3754047,2,27,Premier League,2015/2016,2015-11-29,Liverpool,Swansea City
329,3879661,12,27,Serie A,2015/2016,2015-12-20,Atalanta,Napoli
330,3890288,9,27,1. Bundesliga,2015/2016,2015-09-12,Bayer Leverkusen,Darmstadt 98
331,3895153,9,281,1. Bundesliga,2023/2024,2023-11-25,Werder Bremen,Bayer Leverkusen
332,3817878,1238,108,Indian Super league,2021/2022,2022-01-24,East Bengal,SC Delhi
333,3901197,7,27,Ligue 1,2015/2016,2016-04-02,Guingamp,Montpellier
334,3802948,7,108,Ligue 1,2021/2022,2022-05-21,Paris Saint-Germain,Metz
335,3837918,7,235,Ligue 1,2022/2023,2023-03-19,Paris Saint-Germain,Rennes
336,3749493,2,44,Premier League,2003/2004,2003-08-16,Arsenal,Everton
337,3754232,2,27,Premier League,2015/2016,2016-03-02,Manchester United,Watford
338,3879719,12,27,Serie A,2015/2016,2016-02-03,Sampdoria,Torino
339,3890330,9,27,1. Bundesliga,2015/2016,2015-10-04,Bayer Leverkusen,Augsburg
340,3895060,9,281,1. Bundesliga,2023/2024,2023-08-26,Borussia Mönchengladbach,Bayer Leverkusen
341,3813313,1238,108,Indian Super league,2021/2022,2022-01-23,Mohun Bagan Super Giant,Odisha
342,3829474,7,27,Ligue 1,2015/2016,2015-09-22,Angers,Stade de Reims
343,3802752,7,108,Ligue 1,2021/2022,2021-09-19,Paris Saint-Germain,Lyon
344,3837963,7,235,Ligue 1,2022/2023,2023-04-30,Paris Saint-Germain,Lorient
345,3749233,2,44,Premier League,2003/2004,2004-02-01,Arsenal,Manchester City
346,3754118,2,27,Premier League,2015/2016,2016-04-02,Arsenal,Watford
347,3879838,12,27,Serie A,2015/2016,2016-04-24,Sampdoria,Lazio
348,3890550,9,27,1. Bundesliga,2015/2016,2016-05-07,Borussia Mönchengladbach,Bayer Leverkusen
349,3895158,9,281,1. Bundesliga,2023/2024,2023-12-03,Bayer Leverkusen,Borussia Dortmund
350,3827767,1238,108,Indian Super league,2021/2022,2022-03-20,SC Delhi,Kerala Blasters
351,3900529,7,27,Ligue 1,2015/2016,2015-11-29,Saint-Étienne,Guingamp
352,3802690,7,108,Ligue 1,2021/2022,2021-12-22,Lorient,Paris Saint-Germain
353,3837998,7,235,Ligue 1,2022/2023,2023-05-21,Auxerre,Paris Saint-Germain
354,3749360,2,44,Premier League,2003/2004,2003-12-14,Arsenal,Blackburn Rovers
355,3754149,2,27,Premier League,2015/2016,2016-05-15,Swansea City,Manchester City
356,3879542,12,27,Serie A,2015/2016,2015-09-23,Inter Milan,Hellas Verona
357,3890427,9,27,1. Bundesliga,2015/2016,2016-01-30,Bayer Leverkusen,Hannover 96
358,3895220,9,281,1. Bundesliga,2023/2024,2024-02-03,Darmstadt 98,Bayer Leverkusen
359,3817901,1238,108,Indian Super league,2021/2022,2022-02-17,Jamshedpur,Mumbai City
360,3829473,7,27,Ligue 1,2015/2016,2015-09-22,Paris Saint-Germain,Guingamp
361,3802984,7,108,Ligue 1,2021/2022,2021-11-20,Paris Saint-Germain,Nantes
362,3837683,7,235,Ligue 1,2022/2023,2022-08-31,Toulouse,Paris Saint-Germain
363,3749276,2,44,Premier League,2003/2004,2004-02-21,Chelsea,Arsenal
364,3754100,2,27,Premier League,2015/2016,2016-03-20,Newcastle United,Sunderland
365,3879852,12,27,Serie A,2015/2016,2016-05-01,Palermo,Sampdoria
366,3890502,9,27,1. Bundesliga,2015/2016,2016-04-01,Bayer Leverkusen,Wolfsburg
367,3895074,9,281,1. Bundesliga,2023/2024,2023-09-15,Bayern Munich,Bayer Leverkusen
368,3817880,1238,108,Indian Super league,2021/2022,2022-02-16,Odisha,Chennaiyin
369,3829460,7,27,Ligue 1,2015/2016,2015-09-13,Nantes,Rennes
370,3802793,7,108,Ligue 1,2021/2022,2021-12-01,Paris Saint-Germain,OGC Nice
371,3837695,7,235,Ligue 1,2022/2023,2022-09-03,Nantes,Paris Saint-Germain
372,3749465,2,44,Premier League,2003/2004,2004-03-13,Blackburn Rovers,Arsenal
373,3754280,2,27,Premier League,2015/2016,2016-03-01,Norwich City,Chelsea
374,3878609,12,27,Serie A,2015/2016,2015-09-20,Genoa,Juventus
375,3890431,9,27,1. Bundesliga,2015/2016,2016-02-06,Bayer Leverkusen,Bayern Munich
376,3895202,9,281,1. Bundesliga,2023/2024,2024-01-20,RB Leipzig,Bayer Leverkusen
377,3817850,1238,108,Indian Super league,2021/2022,2022-01-11,Jamshedpur,East Bengal
378,3901149,7,27,Ligue 1,2015/2016,2016-02-20,AS Monaco,Troyes
379,3802839,7,108,Ligue 1,2021/2022,2022-02-19,Nantes,Paris Saint-Germain
380,3837680,7,235,Ligue 1,2022/2023,2022-08-28,Paris Saint-Germain,AS Monaco
381,3749462,2,44,Premier League,2003/2004,2004-05-01,Arsenal,Birmingham City
382,3754327,2,27,Premier League,2015/2016,2016-03-01,Aston Villa,Everton
383,3879864,12,27,Serie A,2015/2016,2016-05-08,Hellas Verona,Juventus
384,3890456,9,27,1. Bundesliga,2015/2016,2016-02-21,Bayer Leverkusen,Borussia Dortmund
385,3895067,9,281,1. Bundesliga,2023/2024,2023-09-02,Bayer Leverkusen,Darmstadt 98
386,3813306,1238,108,Indian Super league,2021/2022,2021-12-21,NorthEast United,Mohun Bagan Super Giant
387,3900519,7,27,Ligue 1,2015/2016,2015-11-22,Rennes,Bordeaux
388,3802696,7,108,Ligue 1,2021/2022,2021-08-29,Stade de Reims,Paris Saint-Germain
389,3837839,7,235,Ligue 1,2022/2023,2023-01-29,Paris Saint-Germain,Stade de Reims
390,3749453,2,44,Premier League,2003/2004,2004-04-16,Arsenal,Leeds United
391,3754039,2,27,Premier League,2015/2016,2016-02-13,Crystal Palace,Watford
392,3879649,12,27,Serie A,2015/2016,2015-12-12,Palermo,Frosinone
393,3890492,9,27,1. Bundesliga,2015/2016,2016-03-13,Bayer Leverkusen,Hamburger SV
394,3895086,9,281,1. Bundesliga,2023/2024,2023-09-24,Bayer Leverkusen,FC Heidenheim
395,3813277,1238,108,Indian Super league,2021/2022,2021-11-27,Mumbai City,SC Delhi
396,3901164,7,27,Ligue 1,2015/2016,2016-03-05,Angers,Saint-Étienne
397,3802907,7,108,Ligue 1,2021/2022,2022-02-06,Lille,Paris Saint-Germain
398,3837859,7,235,Ligue 1,2022/2023,2023-02-04,Paris Saint-Germain,Toulouse
399,3749257,2,44,Premier League,2003/2004,2004-05-15,Arsenal,Leicester City
400,3754336,2,27,Premier League,2015/2016,2015-09-12,Everton,Chelsea
401,3879775,12,27,Serie A,2015/2016,2016-03-06,Genoa,Empoli
402,3890444,9,27,1. Bundesliga,2015/2016,2016-02-13,Darmstadt 98,Bayer Leverkusen
403,3895292,9,281,1. Bundesliga,2023/2024,2024-04-06,Union Berlin,Bayer Leverkusen
404,3817879,1238,108,Indian Super league,2021/2022,2022-01-13,Chennaiyin,SC Delhi
405,3900590,7,27,Ligue 1,2015/2016,2016-01-22,Rennes,Gazélec Ajaccio
406,3802802,7,108,Ligue 1,2021/2022,2022-01-23,Paris Saint-Germain,Stade de Reims
407,3837706,7,235,Ligue 1,2022/2023,2022-09-10,Paris Saint-Germain,Stade Brestois
408,3749052,2,44,Premier League,2003/2004,2004-02-07,Wolverhampton Wanderers,Arsenal
409,3754159,2,27,Premier League,2015/2016,2016-05-17,Manchester United,AFC Bournemouth
410,3879685,12,27,Serie A,2015/2016,2016-01-10,Atalanta,Genoa
411,3890278,9,27,1. Bundesliga,2015/2016,2015-08-29,Bayern Munich,Bayer Leverkusen
412,3895232,9,281,1. Bundesliga,2023/2024,2024-02-10,Bayer Leverkusen,Bayern Munich
413,3813310,1238,108,Indian Super league,2021/2022,2021-12-12,East Bengal,Kerala Blasters
414,3901157,7,27,Ligue 1,2015/2016,2016-02-27,Stade de Reims,Bordeaux
415,3802904,7,108,Ligue 1,2021/2022,2022-03-13,Paris Saint-Germain,Bordeaux
416,3837785,7,235,Ligue 1,2022/2023,2022-11-13,Paris Saint-Germain,Auxerre
417,3749108,2,44,Premier League,2003/2004,2003-08-27,Arsenal,Aston Villa
418,3754290,2,27,Premier League,2015/2016,2016-02-06,Manchester City,Leicester City
419,3879839,12,27,Serie A,2015/2016,2016-04-24,Fiorentina,Juventus
420,3890563,9,27,1. Bundesliga,2015/2016,2016-05-14,Bayer Leverkusen,Ingolstadt
421,3895244,9,281,1. Bundesliga,2023/2024,2024-02-17,FC Heidenheim,Bayer Leverkusen
422,3817868,1238,108,Indian Super league,2021/2022,2022-01-26,Bengaluru,Chennaiyin
423,3901210,7,27,Ligue 1,2015/2016,2016-04-09,Saint-Étienne,Troyes
424,3837954,7,235,Ligue 1,2022/2023,2023-04-21,Angers,Paris Saint-Germain
425,3749133,2,44,Premier League,2003/2004,2004-01-18,Aston Villa,Arsenal
426,3754042,2,27,Premier League,2015/2016,2016-05-15,West Bromwich Albion,Liverpool
427,3879575,12,27,Serie A,2015/2016,2015-10-18,Hellas Verona,Udinese
428,3890521,9,27,1. Bundesliga,2015/2016,2016-04-16,Bayer Leverkusen,Eintracht Frankfurt
429,3895250,9,281,1. Bundesliga,2023/2024,2024-02-23,Bayer Leverkusen,FSV Mainz 05
430,3817875,1238,108,Indian Super league,2021/2022,2022-01-28,Jamshedpur,Goa
431,3901235,7,27,Ligue 1,2015/2016,2016-04-30,Lyon,Gazélec Ajaccio
432,3837747,7,235,Ligue 1,2022/2023,2022-10-16,Paris Saint-Germain,Olympique de Marseille
433,3749246,2,44,Premier League,2003/2004,2004-03-28,Arsenal,Manchester United
434,3754110,2,27,Premier League,2015/2016,2016-01-23,West Ham United,Manchester City
435,3879694,12,27,Serie A,2015/2016,2016-01-17,Bologna,Lazio
436,3890346,9,27,1. Bundesliga,2015/2016,2015-10-24,Bayer Leverkusen,VfB Stuttgart
437,3895286,9,281,1. Bundesliga,2023/2024,2024-03-30,Bayer Leverkusen,Hoffenheim
438,3817889,1238,108,Indian Super league,2021/2022,2022-03-03,Chennaiyin,Mohun Bagan Super Giant
439,3901211,7,27,Ligue 1,2015/2016,2016-04-10,Olympique de Marseille,Bordeaux
440,3837717,7,235,Ligue 1,2022/2023,2022-09-18,Lyon,Paris Saint-Germain
441,3749522,2,44,Premier League,2003/2004,2003-12-26,Arsenal,Wolverhampton Wanderers
442,3754234,2,27,Premier League,2015/2016,2015-10-25,AFC Bournemouth,Tottenham Hotspur
443,3879750,12,27,Serie A,2015/2016,2016-02-21,Atalanta,Fiorentina
444,3890260,9,27,1. Bundesliga,2015/2016,2015-08-15,Bayer Leverkusen,Hoffenheim
445,3895182,9,281,1. Bundesliga,2023/2024,2023-12-20,Bayer Leverkusen,Bochum
446,3813316,1238,108,Indian Super league,2021/2022,2021-12-04,NorthEast United,Goa
447,3900555,7,27,Ligue 1,2015/2016,2015-12-12,Nantes,Toulouse
448,3837896,7,235,Ligue 1,2022/2023,2023-03-04,Paris Saint-Germain,Nantes
449,3749642,2,44,Premier League,2003/2004,2004-02-28,Arsenal,Charlton Athletic
450,3754322,2,27,Premier League,2015/2016,2016-04-16,Chelsea,Manchester City
451,3879581,12,27,Serie A,2015/2016,2015-10-25,Chievo,Napoli
452,3890409,9,27,1. Bundesliga,2015/2016,2015-12-19,Ingolstadt,Bayer Leverkusen
453,3895320,9,281,1. Bundesliga,2023/2024,2024-04-27,Bayer Leverkusen,VfB Stuttgart
454,3817876,1238,108,Indian Super league,2021/2022,2022-01-22,Chennaiyin,NorthEast United
455,3901177,7,27,Ligue 1,2015/2016,2016-03-12,Bastia,Lille
456,3837885,7,235,Ligue 1,2022/2023,2023-02-26,Olympique de Marseille,Paris Saint-Germain
457,3749079,2,44,Premier League,2003/2004,2003-10-18,Arsenal,Chelsea
458,3754167,2,27,Premier League,2015/2016,2015-10-31,Manchester City,Norwich City
459,3879840,12,27,Serie A,2015/2016,2016-04-24,Bologna,Genoa
460,3890540,9,27,1. Bundesliga,2015/2016,2016-04-30,Bayer Leverkusen,Hertha Berlin
461,3895121,9,281,1. Bundesliga,2023/2024,2023-10-29,Bayer Leverkusen,Freiburg
462,3813287,1238,108,Indian Super league,2021/2022,2021-12-16,Bengaluru,Mohun Bagan Super Giant
463,3901196,7,27,Ligue 1,2015/2016,2016-04-02,Paris Saint-Germain,OGC Nice
464,3837650,7,235,Ligue 1,2022/2023,2022-08-06,Clermont Foot,Paris Saint-Germain
465,3749552,2,44,Premier League,2003/2004,2003-09-21,Manchester United,Arsenal
466,3754273,2,27,Premier League,2015/2016,2015-10-31,Watford,West Ham United
467,3879721,12,27,Serie A,2015/2016,2016-02-03,Palermo,AC Milan
468,3890301,9,27,1. Bundesliga,2015/2016,2015-09-20,Borussia Dortmund,Bayer Leverkusen
469,3895266,9,281,1. Bundesliga,2023/2024,2024-03-10,Bayer Leverkusen,Wolfsburg
470,3817855,1238,108,Indian Super league,2021/2022,2022-02-19,Kerala Blasters,Mohun Bagan Super Giant
471,3901189,7,27,Ligue 1,2015/2016,2016-03-19,Lille,Toulouse
472,3749274,2,44,Premier League,2003/2004,2004-05-04,Portsmouth,Arsenal
473,3754128,2,27,Premier League,2015/2016,2015-08-08,AFC Bournemouth,Aston Villa
474,3879599,12,27,Serie A,2015/2016,2015-11-01,Lazio,AC Milan
475,3890359,9,27,1. Bundesliga,2015/2016,2015-11-07,Bayer Leverkusen,FC Köln
476,3895333,9,281,1. Bundesliga,2023/2024,2024-05-05,Eintracht Frankfurt,Bayer Leverkusen
477,3813268,1238,108,Indian Super league,2021/2022,2021-12-06,Jamshedpur,Mohun Bagan Super Giant
478,3900511,7,27,Ligue 1,2015/2016,2015-11-21,Lorient,Paris Saint-Germain
479,3749346,2,44,Premier League,2003/2004,2003-11-01,Leeds United,Arsenal
480,3754105,2,27,Premier League,2015/2016,2015-09-28,West Bromwich Albion,Everton
481,3879703,12,27,Serie A,2015/2016,2016-01-24,Lazio,Chievo
482,3813266,1238,108,Indian Super league,2021/2022,2022-01-08,Goa,Chennaiyin
483,3829500,7,27,Ligue 1,2015/2016,2015-10-04,Paris Saint-Germain,Olympique de Marseille
484,3749192,2,44,Premier League,2003/2004,2003-11-30,Arsenal,Fulham
485,3754009,2,27,Premier League,2015/2016,2016-04-17,Arsenal,Crystal Palace
486,3879681,12,27,Serie A,2015/2016,2016-01-10,Inter Milan,Sassuolo
487,3813286,1238,108,Indian Super league,2021/2022,2021-12-15,Mumbai City,Chennaiyin
488,3901147,7,27,Ligue 1,2015/2016,2016-02-20,Toulouse,Gazélec Ajaccio
489,3749296,2,44,Premier League,2003/2004,2003-09-13,Arsenal,Portsmouth
490,3754000,2,27,Premier League,2015/2016,2015-11-07,Sunderland,Southampton
491,3879710,12,27,Serie A,2015/2016,2016-01-31,Bologna,Sampdoria
492,3813300,1238,108,Indian Super league,2021/2022,2021-12-05,Kerala Blasters,Odisha
493,3901236,7,27,Ligue 1,2015/2016,2016-04-30,Nantes,OGC Nice
494,3749068,2,44,Premier League,2003/2004,2004-04-25,Tottenham Hotspur,Arsenal
495,3754092,2,27,Premier League,2015/2016,2016-05-02,Chelsea,Tottenham Hotspur
496,3878603,12,27,Serie A,2015/2016,2015-09-19,Udinese,Empoli
497,3813314,1238,108,Indian Super league,2021/2022,2021-11-19,Mohun Bagan Super Giant,Kerala Blasters
498,3901168,7,27,Ligue 1,2015/2016,2016-03-05,Lille,Stade de Reims
499,3749454,2,44,Premier League,2003/2004,2003-08-31,Manchester City,Arsenal
500,3754301,2,27,Premier League,2015/2016,2015-11-21,West Bromwich Albion,Arsenal
501,3879739,12,27,Serie A,2015/2016,2016-02-13,Juventus,Napoli
502,3817902,1238,108,Indian Super league,2021/2022,2022-02-14,Kerala Blasters,East Bengal
503,3829439,7,27,Ligue 1,2015/2016,2015-08-22,Toulouse,AS Monaco
504,3754030,2,27,Premier League,2015/2016,2016-04-09,Watford,Everton
505,3879811,12,27,Serie A,2015/2016,2016-04-10,Napoli,Hellas Verona
506,3817896,1238,108,Indian Super league,2021/2022,2022-02-07,East Bengal,Odisha
507,3829462,7,27,Ligue 1,2015/2016,2015-09-13,Gazélec Ajaccio,AS Monaco
508,3754178,2,27,Premier League,2015/2016,2015-11-28,Aston Villa,Watford
509,3879835,12,27,Serie A,2015/2016,2016-04-20,Chievo,Frosinone
510,3827337,1238,108,Indian Super league,2021/2022,2022-03-11,Jamshedpur,Kerala Blasters
511,3900620,7,27,Ligue 1,2015/2016,2016-02-06,Stade Malherbe Caen,Stade de Reims
512,3754153,2,27,Premier League,2015/2016,2015-12-19,Stoke City,Crystal Palace
513,3879652,12,27,Serie A,2015/2016,2015-12-13,AC Milan,Hellas Verona
514,3817888,1238,108,Indian Super league,2021/2022,2022-01-29,Mohun Bagan Super Giant,East Bengal
515,3900623,7,27,Ligue 1,2015/2016,2016-02-06,Lorient,Montpellier
516,3754241,2,27,Premier League,2015/2016,2016-04-09,West Ham United,Arsenal
517,3879678,12,27,Serie A,2015/2016,2016-01-09,Carpi,Udinese
518,3817852,1238,108,Indian Super league,2021/2022,2022-02-06,Chennaiyin,Mumbai City
519,3901159,7,27,Ligue 1,2015/2016,2016-02-28,Lyon,Paris Saint-Germain
520,3754194,2,27,Premier League,2015/2016,2015-11-07,West Ham United,Everton
521,3879741,12,27,Serie A,2015/2016,2016-02-13,Chievo,Sassuolo
522,3813301,1238,108,Indian Super league,2021/2022,2021-12-10,Odisha,NorthEast United
523,3829503,7,27,Ligue 1,2015/2016,2015-10-17,Nantes,Troyes
524,3754115,2,27,Premier League,2015/2016,2015-10-17,Chelsea,Aston Villa
525,3879602,12,27,Serie A,2015/2016,2015-11-01,Fiorentina,Frosinone
526,3817898,1238,108,Indian Super league,2021/2022,2022-02-26,Goa,Mumbai City
527,3829511,7,27,Ligue 1,2015/2016,2015-10-18,Bordeaux,Montpellier
528,3754179,2,27,Premier League,2015/2016,2016-01-23,Crystal Palace,Tottenham Hotspur
529,3879776,12,27,Serie A,2015/2016,2016-03-06,Bologna,Carpi
530,3817870,1238,108,Indian Super league,2021/2022,2022-03-06,Goa,Kerala Blasters
531,3900505,7,27,Ligue 1,2015/2016,2015-11-07,Stade Malherbe Caen,Guingamp
532,3754002,2,27,Premier League,2015/2016,2016-03-14,Leicester City,Newcastle United
533,3879640,12,27,Serie A,2015/2016,2015-12-06,Frosinone,Chievo
534,3817899,1238,108,Indian Super league,2021/2022,2022-03-04,Jamshedpur,Odisha
535,3901243,7,27,Ligue 1,2015/2016,2016-05-07,Bastia,Angers
536,3754104,2,27,Premier League,2015/2016,2015-08-22,Norwich City,Stoke City
537,3879645,12,27,Serie A,2015/2016,2015-12-06,Bologna,Napoli
538,3813298,1238,108,Indian Super league,2021/2022,2021-11-21,East Bengal,Jamshedpur
539,3829507,7,27,Ligue 1,2015/2016,2015-10-17,Toulouse,Angers
540,3754291,2,27,Premier League,2015/2016,2015-12-28,Watford,Tottenham Hotspur
541,3879546,12,27,Serie A,2015/2016,2015-09-24,Empoli,Atalanta
542,3813309,1238,108,Indian Super league,2021/2022,2021-11-23,SC Delhi,Chennaiyin
543,3829435,7,27,Ligue 1,2015/2016,2015-08-22,Lyon,Rennes
544,3754076,2,27,Premier League,2015/2016,2015-10-03,Sunderland,West Ham United
545,3878545,12,27,Serie A,2015/2016,2015-08-23,Sampdoria,Carpi
546,3817892,1238,108,Indian Super league,2021/2022,2022-02-24,Odisha,Mohun Bagan Super Giant
547,3900586,7,27,Ligue 1,2015/2016,2016-01-16,Guingamp,Nantes
548,3754005,2,27,Premier League,2015/2016,2016-03-02,Stoke City,Newcastle United
549,3879755,12,27,Serie A,2015/2016,2016-02-21,Frosinone,Lazio
550,3817856,1238,108,Indian Super league,2021/2022,2022-03-07,Mohun Bagan Super Giant,Jamshedpur
551,3900617,7,27,Ligue 1,2015/2016,2016-02-03,Stade de Reims,Angers
552,3754014,2,27,Premier League,2015/2016,2015-12-26,Stoke City,Manchester United
553,3879561,12,27,Serie A,2015/2016,2015-10-04,Fiorentina,Atalanta
554,3817884,1238,108,Indian Super league,2021/2022,2022-02-08,SC Delhi,Mohun Bagan Super Giant
555,3900543,7,27,Ligue 1,2015/2016,2015-12-05,Stade de Reims,Troyes
556,3754145,2,27,Premier League,2015/2016,2015-08-10,West Bromwich Albion,Manchester City
557,3878559,12,27,Serie A,2015/2016,2015-08-30,Atalanta,Frosinone
558,3813295,1238,108,Indian Super league,2021/2022,2021-12-28,SC Delhi,Odisha
559,3829499,7,27,Ligue 1,2015/2016,2015-10-04,Stade Malherbe Caen,Saint-Étienne
560,3754345,2,27,Premier League,2015/2016,2016-01-17,Liverpool,Manchester United
561,3879550,12,27,Serie A,2015/2016,2015-09-27,Inter Milan,Fiorentina
562,3813274,1238,108,Indian Super league,2021/2022,2021-12-04,Bengaluru,Mumbai City
563,3901173,7,27,Ligue 1,2015/2016,2016-03-09,Gazélec Ajaccio,Olympique de Marseille
564,3754088,2,27,Premier League,2015/2016,2016-01-12,Newcastle United,Manchester United
565,3879792,12,27,Serie A,2015/2016,2016-03-20,Sampdoria,Chievo
566,3813272,1238,108,Indian Super league,2021/2022,2021-12-18,Goa,SC Delhi
