match_id,model_version,prediction_timestamp,source_snapshot_timestamp,kickoff_utc,approval_status,row_index,valid,reasons
2026_A_0625_CzeMex,M3_75_25,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-25T01:00:00+00:00,shadow,73,True,
2026_A_0625_CzeMex,M4_50_50,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-25T01:00:00+00:00,shadow,74,True,
2026_A_0625_CzeMex,M5_25_75,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-25T01:00:00+00:00,shadow,75,True,
2026_A_0625_SouKor,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-25T01:00:00+00:00,approved,76,True,
2026_A_0625_SouKor,M2_market,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-25T01:00:00+00:00,shadow,77,True,
2026_A_0625_SouKor,M3_75_25,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-25T01:00:00+00:00,shadow,78,True,
2026_A_0625_SouKor,M4_50_50,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-25T01:00:00+00:00,shadow,79,True,
2026_A_0625_SouKor,M5_25_75,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-25T01:00:00+00:00,shadow,80,True,
2026_E_0625_CurIvo,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-25T20:00:00+00:00,approved,81,True,
2026_E_0625_CurIvo,M2_market,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-25T20:00:00+00:00,shadow,82,True,
2026_E_0625_CurIvo,M3_75_25,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-25T20:00:00+00:00,shadow,83,True,
2026_E_0625_CurIvo,M4_50_50,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-25T20:00:00+00:00,shadow,84,True,
2026_E_0625_CurIvo,M5_25_75,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-25T20:00:00+00:00,shadow,85,True,
2026_E_0625_EcuGer,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-25T20:00:00+00:00,approved,86,True,
2026_E_0625_EcuGer,M2_market,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-25T20:00:00+00:00,shadow,87,True,
2026_E_0625_EcuGer,M3_75_25,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-25T20:00:00+00:00,shadow,88,True,
