canonical_match_id,provider_fixture_id,league_name,season,comp_type,kickoff_utc,cohort,raw_events_state,raw_lineups_state,execution_status
39/2020/2021-03-14/33/48,592772,EPL,2020,club,2021-03-14T19:15:00+00:00,player_history_club,pending,pending,pending
39/2020/2021-03-15/39/40,592775,EPL,2020,club,2021-03-15T20:00:00+00:00,player_history_club,pending,pending,pending
39/2020/2020-11-29/41/33,592238,EPL,2020,club,2020-11-29T14:00:00+00:00,player_history_club,pending,pending,pending
39/2020/2020-09-28/40/42,592165,EPL,2020,club,2020-09-28T19:00:00+00:00,player_history_club,pending,pending,pending
39/2020/2020-12-29/51/42,592291,EPL,2020,club,2020-12-29T18:00:00+00:00,player_history_club,pending,pending,pending
39/2020/2020-10-04/66/40,592172,EPL,2020,club,2020-10-04T18:15:00+00:00,player_history_club,pending,pending,pending
39/2020/2021-04-19/63/40,592810,EPL,2020,club,2021-04-19T19:00:00+00:00,player_history_club,pending,pending,pending
39/2020/2020-09-27/47/34,592168,EPL,2020,club,2020-09-27T13:00:00+00:00,player_history_club,pending,pending,pending
39/2020/2020-12-05/49/63,592244,EPL,2020,club,2020-12-05T20:00:00+00:00,player_history_club,pending,pending,pending
39/2020/2020-12-27/39/47,592290,EPL,2020,club,2020-12-27T19:15:00+00:00,player_history_club,pending,pending,pending
39/2020/2021-01-26/52/48,592340,EPL,2020,club,2021-01-26T18:00:00+00:00,player_history_club,pending,pending,pending
39/2020/2021-03-14/41/51,592774,EPL,2020,club,2021-03-14T12:00:00+00:00,player_history_club,pending,pending,pending
39/2020/2021-01-27/49/39,592336,EPL,2020,club,2021-01-27T18:00:00+00:00,player_history_club,pending,pending,pending
39/2020/2021-04-24/48/49,592824,EPL,2020,club,2021-04-24T16:30:00+00:00,player_history_club,pending,pending,pending
39/2020/2021-03-03/44/46,592777,EPL,2020,club,2021-03-03T18:00:00+00:00,player_history_club,pending,pending,pending
39/2020/2021-04-30/41/46,592833,EPL,2020,club,2021-04-30T19:00:00+00:00,player_history_club,pending,pending,pending
39/2020/2020-12-12/39/66,592260,EPL,2020,club,2020-12-12T12:30:00+00:00,player_history_club,pending,pending,pending
39/2020/2021-04-17/39/62,592815,EPL,2020,club,2021-04-17T19:15:00+00:00,player_history_club,pending,pending,pending
39/2020/2021-05-23/42/51,592866,EPL,2020,club,2021-05-23T15:00:00+00:00,player_history_club,pending,pending,pending
39/2020/2021-05-16/47/39,592854,EPL,2020,club,2021-05-16T13:05:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-11-27/42/34,710676,EPL,2021,club,2021-11-27T12:30:00+00:00,player_history_club,pending,pending,pending
