official_sb_match_id,competition,season,competition_label,match_date,official_norm_home,official_norm_away,official_fulltime_result,local_bridge_id,local_sb_match_id,local_regulation_result,orientation,classification
8650,FIFA World Cup,2018,FIFA World Cup 2018,2018-07-06,brazil,belgium,away,51ad491d67cab6c6,8650,away,same,exact
8651,FIFA World Cup,2018,FIFA World Cup 2018,2018-07-07,sweden,england,away,a9a64a22b2ffc08f,8651,away,same,exact
8652,FIFA World Cup,2018,FIFA World Cup 2018,2018-07-07,russia,croatia,draw,f20ad45ae3ae286c,8652,draw,same,exact
8655,FIFA World Cup,2018,FIFA World Cup 2018,2018-07-10,france,belgium,home,215789860f293ec9,8655,home,same,exact
8656,FIFA World Cup,2018,FIFA World Cup 2018,2018-07-11,croatia,england,home,03ed1fb199f84efc,8656,draw,same,score_mismatch
8657,FIFA World Cup,2018,FIFA World Cup 2018,2018-07-14,belgium,england,home,17857e5a29cd6c34,8657,home,same,exact
8658,FIFA World Cup,2018,FIFA World Cup 2018,2018-07-15,france,croatia,home,3f31d38173e6bc43,8658,home,same,exact
3857254,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-22,denmark,tunisia,draw,1ff62c6fe0126418,3857254,draw,same,exact
3857255,FIFA World Cup,2022,FIFA World Cup 2022,2022-12-01,japan,spain,home,76205345820ac452,3857255,home,same,exact
3857256,FIFA World Cup,2022,FIFA World Cup 2022,2022-12-02,serbia,switzerland,away,c5d9d0e9055c5252,3857256,away,same,exact
3857257,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-30,australia,denmark,home,adc27765418da745,3857257,home,same,exact
3857258,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-24,brazil,serbia,home,f04bbbbecb34c9aa,3857258,home,same,exact
3857259,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-28,cameroon,serbia,draw,928a699c49a903bb,3857259,draw,same,exact
3857260,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-30,saudi arabia,mexico,away,f9ee72e09972afed,3857260,away,same,exact
3857261,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-29,wales,england,away,bcf259d61d29600e,3857261,away,same,exact
3857262,FIFA World Cup,2022,FIFA World Cup 2022,2022-12-02,south korea,portugal,home,6dd110f13bffdca8,3857262,home,same,exact
3857263,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-27,spain,germany,draw,845bbf9b43596ff5,3857263,draw,same,exact
3857264,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-30,poland,argentina,away,3e0f1e40949cb532,3857264,away,same,exact
3857265,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-22,mexico,poland,draw,b451525e9a5c557f,3857265,draw,same,exact
3857266,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-26,france,denmark,home,c84e0d8dd22a6f2a,3857266,home,same,exact
3857267,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-29,ecuador,senegal,away,ec4212818042a895,3857267,away,same,exact
3857268,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-23,belgium,canada,home,b476398ec95c6bac,3857268,home,same,exact
3857269,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-28,brazil,switzerland,home,38f2e70967b6b224,3857269,home,same,exact
3857270,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-28,portugal,uruguay,home,3642acd96c58e22e,3857270,home,same,exact
3857271,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-21,england,iran,home,cbd2fbd2b0095660,3857271,home,same,exact
3857272,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-25,england,united states,draw,143ab97c0a953a8f,3857272,draw,same,exact
3857273,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-25,wales,iran,away,83a40ae62a6094e8,3857273,away,same,exact
3857274,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-25,netherlands,ecuador,draw,4e0564f52b59cdcf,3857274,draw,same,exact
3857275,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-30,tunisia,france,home,f908885ce28923d9,3857275,home,same,exact
3857276,FIFA World Cup,2022,FIFA World Cup 2022,2022-12-01,canada,morocco,away,2acfb4344f2ac1b4,3857276,away,same,exact
3857277,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-23,morocco,croatia,draw,e5df4d83e8919315,3857277,draw,same,exact
3857278,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-29,iran,united states,away,3aed18b7e70f038c,3857278,away,same,exact
3857279,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-22,france,australia,home,3e109074d37f49a2,3857279,home,same,exact
3857280,FIFA World Cup,2022,FIFA World Cup 2022,2022-12-02,cameroon,brazil,home,7901496dfdd23c75,3857280,home,same,exact
