sb_match_id,competition,season,competition_id,season_id,competition_label,match_date,home,away,norm_home,norm_away,home_score,away_score,fulltime_result,competition_stage,match_status,source_url
3939977,Copa America,2024,223,282,Copa America 2024,2024-06-26,Chile,Argentina,chile,argentina,0,1,away,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/223/282.json
3939978,Copa America,2024,223,282,Copa America 2024,2024-06-25,Peru,Canada,peru,canada,0,1,away,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/223/282.json
3939979,Copa America,2024,223,282,Copa America 2024,2024-06-27,Venezuela,Mexico,venezuela,mexico,1,0,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/223/282.json
3939980,Copa America,2024,223,282,Copa America 2024,2024-06-26,Ecuador,Jamaica,ecuador,jamaica,3,1,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/223/282.json
3939981,Copa America,2024,223,282,Copa America 2024,2024-06-27,Panama,United States,panama,united states,2,1,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/223/282.json
3939982,Copa America,2024,223,282,Copa America 2024,2024-06-28,Uruguay,Bolivia,uruguay,bolivia,5,0,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/223/282.json
3939983,Copa America,2024,223,282,Copa America 2024,2024-06-29,Paraguay,Brazil,paraguay,brazil,1,4,away,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/223/282.json
3939984,Copa America,2024,223,282,Copa America 2024,2024-06-28,Colombia,Costa Rica,colombia,costa rica,3,0,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/223/282.json
3939985,Copa America,2024,223,282,Copa America 2024,2024-06-30,Canada,Chile,canada,chile,0,0,draw,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/223/282.json
3939986,Copa America,2024,223,282,Copa America 2024,2024-06-30,Argentina,Peru,argentina,peru,2,0,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/223/282.json
3939987,Copa America,2024,223,282,Copa America 2024,2024-07-01,Jamaica,Venezuela,jamaica,venezuela,0,3,away,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/223/282.json
3939988,Copa America,2024,223,282,Copa America 2024,2024-07-01,Mexico,Ecuador,mexico,ecuador,0,0,draw,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/223/282.json
3939989,Copa America,2024,223,282,Copa America 2024,2024-07-02,Bolivia,Panama,bolivia,panama,1,3,away,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/223/282.json
3939990,Copa America,2024,223,282,Copa America 2024,2024-07-02,United States,Uruguay,united states,uruguay,0,1,away,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/223/282.json
3939991,Copa America,2024,223,282,Copa America 2024,2024-07-03,Brazil,Colombia,brazil,colombia,1,1,draw,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/223/282.json
