sb_match_id,api_fixture_id,competition_label,kickoff_date,bridge_confidence,comp_type,raw_corpus,reconciled_corpus,international_population,exact_bridge_population,xg_snapshot_population,event_process_population,residual_population,primary_evaluation_population,loco_evaluation_population,dropped_at_stage,drop_reason,drop_detail
7542,135794,FIFA World Cup 2018,2018-06-20,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7544,135795,FIFA World Cup 2018,2018-06-20,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7543,135796,FIFA World Cup 2018,2018-06-20,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7547,135797,FIFA World Cup 2018,2018-06-21,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7546,135798,FIFA World Cup 2018,2018-06-21,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7545,135799,FIFA World Cup 2018,2018-06-21,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7548,135800,FIFA World Cup 2018,2018-06-22,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7549,135801,FIFA World Cup 2018,2018-06-22,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7550,135802,FIFA World Cup 2018,2018-06-22,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7552,135803,FIFA World Cup 2018,2018-06-23,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7553,135804,FIFA World Cup 2018,2018-06-23,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7551,135805,FIFA World Cup 2018,2018-06-23,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7554,135806,FIFA World Cup 2018,2018-06-24,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7556,135807,FIFA World Cup 2018,2018-06-24,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7555,135808,FIFA World Cup 2018,2018-06-24,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7558,135809,FIFA World Cup 2018,2018-06-25,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7559,135810,FIFA World Cup 2018,2018-06-25,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7557,135811,FIFA World Cup 2018,2018-06-25,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7560,135812,FIFA World Cup 2018,2018-06-25,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7563,135813,FIFA World Cup 2018,2018-06-26,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7562,135814,FIFA World Cup 2018,2018-06-26,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7564,135815,FIFA World Cup 2018,2018-06-26,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7561,135816,FIFA World Cup 2018,2018-06-26,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7567,135817,FIFA World Cup 2018,2018-06-27,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7566,135818,FIFA World Cup 2018,2018-06-27,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7565,135819,FIFA World Cup 2018,2018-06-27,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7568,135820,FIFA World Cup 2018,2018-06-27,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7572,135821,FIFA World Cup 2018,2018-06-28,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7571,135822,FIFA World Cup 2018,2018-06-28,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7570,135823,FIFA World Cup 2018,2018-06-28,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7569,135824,FIFA World Cup 2018,2018-06-28,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7580,135761,FIFA World Cup 2018,2018-06-30,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7579,135762,FIFA World Cup 2018,2018-06-30,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7582,135763,FIFA World Cup 2018,2018-07-01,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7581,135764,FIFA World Cup 2018,2018-07-01,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7583,135765,FIFA World Cup 2018,2018-07-02,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7584,135766,FIFA World Cup 2018,2018-07-02,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7586,135767,FIFA World Cup 2018,2018-07-03,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7585,135768,FIFA World Cup 2018,2018-07-03,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
8649,135769,FIFA World Cup 2018,2018-07-06,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
8650,135770,FIFA World Cup 2018,2018-07-06,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
8651,135771,FIFA World Cup 2018,2018-07-07,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
8652,135772,FIFA World Cup 2018,2018-07-07,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
8655,135773,FIFA World Cup 2018,2018-07-10,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
8656,135774,FIFA World Cup 2018,2018-07-11,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
8657,135775,FIFA World Cup 2018,2018-07-14,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
8658,135776,FIFA World Cup 2018,2018-07-15,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3857286,855736,FIFA World Cup 2022,2022-11-20,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3857285,855734,FIFA World Cup 2022,2022-11-21,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3857271,855735,FIFA World Cup 2022,2022-11-21,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3857282,866681,FIFA World Cup 2022,2022-11-21,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3857300,855737,FIFA World Cup 2022,2022-11-22,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3857254,855738,FIFA World Cup 2022,2022-11-22,exact,international,1,1,1,1,1,1,1,1,1,,,
3857265,855739,FIFA World Cup 2022,2022-11-22,exact,international,1,1,1,1,1,1,1,1,1,,,
3857279,871850,FIFA World Cup 2022,2022-11-22,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3857277,855740,FIFA World Cup 2022,2022-11-23,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3857284,855741,FIFA World Cup 2022,2022-11-23,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3857268,855742,FIFA World Cup 2022,2022-11-23,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3857291,871851,FIFA World Cup 2022,2022-11-23,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3857290,855743,FIFA World Cup 2022,2022-11-24,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3857287,855744,FIFA World Cup 2022,2022-11-24,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3857298,855745,FIFA World Cup 2022,2022-11-24,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3857258,855746,FIFA World Cup 2022,2022-11-24,exact,international,1,1,1,1,1,1,1,1,1,,,
3857301,855747,FIFA World Cup 2022,2022-11-25,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3857274,855748,FIFA World Cup 2022,2022-11-25,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3857272,855749,FIFA World Cup 2022,2022-11-25,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3857273,866682,FIFA World Cup 2022,2022-11-25,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3857297,855750,FIFA World Cup 2022,2022-11-26,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3857266,855751,FIFA World Cup 2022,2022-11-26,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3857289,855752,FIFA World Cup 2022,2022-11-26,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3857288,871852,FIFA World Cup 2022,2022-11-26,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3857283,855753,FIFA World Cup 2022,2022-11-27,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3857281,855754,FIFA World Cup 2022,2022-11-27,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3857263,855755,FIFA World Cup 2022,2022-11-27,exact,international,1,1,1,1,1,1,1,1,1,,,
3857295,871853,FIFA World Cup 2022,2022-11-27,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3857259,855756,FIFA World Cup 2022,2022-11-28,exact,international,1,1,1,1,1,1,1,1,1,,,
